condition,task,step,accA_est,accB_est,syn_load,drift
no_sleep,A,100,0.490234,0.453125,5.427395,0.023716
no_sleep,A,200,0.501953,0.429688,5.884754,0.024634
no_sleep,A,300,0.529297,0.449219,6.161064,0.027228
no_sleep,A,400,0.507812,0.476562,5.822784,0.023713
no_sleep,A,500,0.546875,0.453125,5.763413,0.024472
no_sleep,A,600,0.523438,0.472656,6.166521,0.025460
no_sleep,A,700,0.476562,0.470703,5.843617,0.025294
no_sleep,A,800,0.519531,0.433594,6.267941,0.024980
no_sleep,A,900,0.498047,0.488281,6.003206,0.025433
no_sleep,A,1000,0.546875,0.443359,6.473720,0.025037
no_sleep,A,1100,0.511719,0.462891,6.218252,0.023847
no_sleep,A,1200,0.517578,0.484375,5.829968,0.024194
no_sleep,A,1300,0.472656,0.458984,6.567244,0.024454
no_sleep,A,1400,0.523438,0.505859,5.245209,0.026915
no_sleep,A,1500,0.511719,0.468750,6.367279,0.024453
no_sleep,A,1600,0.515625,0.474609,5.928812,0.025670
no_sleep,A,1700,0.500000,0.443359,6.373590,0.024255
no_sleep,A,1800,0.480469,0.476562,6.287526,0.024747
no_sleep,A,1900,0.501953,0.474609,5.645728,0.025589
no_sleep,A,2000,0.572266,0.451172,6.641400,0.024917
no_sleep,A,2100,0.513672,0.478516,5.794666,0.025044
no_sleep,A,2200,0.525391,0.449219,7.018749,0.025977
no_sleep,A,2300,0.503906,0.458984,6.046389,0.026583
no_sleep,A,2400,0.486328,0.441406,6.926561,0.025600
no_sleep,A,2500,0.501953,0.449219,6.050261,0.025697
no_sleep,A,2600,0.507812,0.472656,5.198741,0.026034
no_sleep,A,2700,0.523438,0.437500,6.474808,0.025073
no_sleep,A,2800,0.533203,0.486328,5.785827,0.025872
no_sleep,A,2900,0.533203,0.447266,6.180930,0.024016
no_sleep,A,3000,0.533203,0.468750,6.018835,0.024209
no_sleep,A,3100,0.503906,0.455078,6.984671,0.024232
no_sleep,A,3200,0.500000,0.470703,6.819796,0.024798
no_sleep,A,3300,0.470703,0.494141,6.203390,0.025498
no_sleep,A,3400,0.541016,0.458984,5.766234,0.027353
no_sleep,A,3500,0.583984,0.478516,5.978867,0.023531
no_sleep,A,3600,0.546875,0.439453,6.222851,0.024454
no_sleep,A,3700,0.537109,0.482422,5.776564,0.027580
no_sleep,A,3800,0.535156,0.478516,6.016061,0.025172
no_sleep,A,3900,0.533203,0.486328,5.968738,0.024110
no_sleep,A,4000,0.515625,0.482422,6.664551,0.025530
no_sleep,A,4100,0.492188,0.457031,5.959283,0.024969
no_sleep,A,4200,0.503906,0.466797,5.784855,0.025391
no_sleep,A,4300,0.527344,0.443359,6.637641,0.026078
no_sleep,A,4400,0.533203,0.470703,5.907541,0.024490
no_sleep,A,4500,0.539062,0.474609,5.692252,0.025124
no_sleep,A,4600,0.523438,0.455078,5.954366,0.025918
no_sleep,A,4700,0.515625,0.388672,5.985330,0.025454
no_sleep,A,4800,0.511719,0.460938,6.348062,0.024563
no_sleep,A,4900,0.531250,0.464844,7.410493,0.026578
no_sleep,A,5000,0.513672,0.464844,7.215599,0.024847
no_sleep,B,5100,0.513672,0.486328,6.167103,0.025216
