condition,task,step,accA_est,accB_est,syn_load,drift
sleep,A,100,0.492188,0.451172,3.294737,0.035669
sleep,A,200,0.501953,0.429688,3.245960,0.037536
sleep,A,300,0.529297,0.447266,3.227295,0.040985
sleep,A,400,0.507812,0.476562,3.214845,0.034589
sleep,A,500,0.546875,0.453125,3.282389,0.036375
sleep,A,600,0.523438,0.472656,3.215851,0.038461
sleep,A,700,0.476562,0.470703,3.201300,0.037126
sleep,A,800,0.519531,0.435547,3.226282,0.038344
sleep,A,900,0.498047,0.488281,3.095982,0.036029
sleep,A,1000,0.546875,0.443359,3.161247,0.037006
sleep,A,1100,0.511719,0.462891,3.198063,0.034930
sleep,A,1200,0.517578,0.484375,3.264809,0.036529
sleep,A,1300,0.472656,0.458984,3.232814,0.036577
sleep,A,1400,0.523438,0.505859,3.216836,0.038992
sleep,A,1500,0.511719,0.468750,3.136670,0.034231
sleep,A,1600,0.515625,0.474609,3.174157,0.037733
sleep,A,1700,0.500000,0.443359,3.176030,0.036285
sleep,A,1800,0.480469,0.476562,3.233807,0.037094
sleep,A,1900,0.501953,0.474609,3.155133,0.037622
sleep,A,2000,0.572266,0.451172,3.227828,0.034003
sleep,A,2100,0.513672,0.478516,3.155239,0.036143
sleep,A,2200,0.525391,0.449219,3.216579,0.037969
sleep,A,2300,0.503906,0.458984,3.163110,0.039523
sleep,A,2400,0.486328,0.441406,3.218385,0.036966
sleep,A,2500,0.501953,0.449219,3.249389,0.040250
sleep,A,2600,0.507812,0.472656,3.274543,0.040547
sleep,A,2700,0.523438,0.437500,3.243693,0.034969
sleep,A,2800,0.533203,0.486328,3.206376,0.037768
sleep,A,2900,0.533203,0.447266,3.227179,0.035692
sleep,A,3000,0.533203,0.468750,3.204190,0.035663
sleep,A,3100,0.503906,0.455078,3.213297,0.035469
sleep,A,3200,0.501953,0.470703,3.222324,0.036366
sleep,A,3300,0.470703,0.494141,3.249504,0.037965
sleep,A,3400,0.541016,0.458984,3.224565,0.039243
sleep,A,3500,0.583984,0.478516,3.186115,0.034611
sleep,A,3600,0.544922,0.439453,3.257830,0.035974
sleep,A,3700,0.537109,0.482422,3.260762,0.038990
sleep,A,3800,0.535156,0.478516,3.205580,0.034595
sleep,A,3900,0.533203,0.486328,3.247020,0.036211
sleep,A,4000,0.517578,0.484375,3.263405,0.036352
sleep,A,4100,0.492188,0.457031,3.283154,0.038023
sleep,A,4200,0.503906,0.466797,3.211581,0.037369
sleep,A,4300,0.527344,0.443359,3.311312,0.037052
sleep,A,4400,0.533203,0.470703,3.300753,0.038004
sleep,A,4500,0.539062,0.474609,3.260690,0.037035
sleep,A,4600,0.523438,0.455078,3.202173,0.039741
sleep,A,4700,0.515625,0.388672,3.223326,0.038482
sleep,A,4800,0.507812,0.460938,3.214264,0.035792
sleep,A,4900,0.529297,0.462891,3.177321,0.037503
sleep,A,5000,0.513672,0.464844,3.249015,0.036507
sleep,B,5100,0.513672,0.486328,3.299244,0.036576
sleep,B,5200,0.546875,0.449219,3.215989,0.034706
sleep,B,5300,0.533203,0.500000,3.242852,0.036605
sleep,B,5400,0.535156,0.453125,3.211107,0.036435
sleep,B,5500,0.531250,0.457031,3.161584,0.037204
sleep,B,5600,0.474609,0.488281,3.233341,0.037309
sleep,B,5700,0.517578,0.507812,3.144356,0.038306
sleep,B,5800,0.542969,0.478516,3.219858,0.036418
sleep,B,5900,0.527344,0.468750,3.196146,0.036685
sleep,B,6000,0.539062,0.466797,3.177990,0.036715
sleep,B,6100,0.552734,0.457031,3.144337,0.035712
sleep,B,6200,0.480469,0.437500,3.260680,0.035415
sleep,B,6300,0.537109,0.457031,3.246232,0.041448
sleep,B,6400,0.466797,0.474609,3.259037,0.035057
sleep,B,6500,0.541016,0.507812,3.216009,0.034315
sleep,B,6600,0.519531,0.470703,3.226585,0.035792
sleep,B,6700,0.544922,0.462891,3.292545,0.036060
sleep,B,6800,0.542969,0.458984,3.181500,0.039112
sleep,B,6900,0.529297,0.439453,3.229007,0.037415
sleep,B,7000,0.476562,0.443359,3.252636,0.038141
sleep,B,7100,0.554688,0.486328,3.342564,0.039008
sleep,B,7200,0.498047,0.449219,3.205856,0.036192
sleep,B,7300,0.542969,0.474609,3.262802,0.037461
sleep,B,7400,0.453125,0.445312,3.240208,0.034444
sleep,B,7500,0.507812,0.490234,3.149468,0.040258
sleep,B,7600,0.548828,0.503906,3.267681,0.034116
